time,gFx,gFy,gFz,TgF
5.075291,-0.2444,0.4774,0.3013,0.62
5.108541,-0.1762,0.4327,0.2764,0.54
5.126697,-0.1838,0.3796,0.2966,0.52
5.144853,-0.2393,0.3558,0.3392,0.55
5.160078,-0.2962,0.3439,0.3358,0.56
5.192863,-0.3057,0.3945,0.3770,0.63
5.209153,-0.2062,0.3473,0.4127,0.58
5.226723,-0.1628,0.3784,0.5366,0.68
5.244274,-0.1799,0.5169,0.6452,0.85
5.262838,-0.2987,0.7000,0.7407,1.06
5.277377,-0.3419,0.7652,0.6916,1.09
5.311147,-0.3971,0.5729,0.7095,0.99
5.326670,-0.3673,0.5775,0.8136,1.06
5.344639,-0.2822,0.7853,1.0499,1.34
5.361468,-0.3849,1.0182,1.0294,1.50
5.393130,-0.4087,0.8188,0.7935,1.21
5.410218,-0.3495,0.6836,0.6711,1.02
5.426914,-0.3004,0.4795,0.7216,0.92
5.443983,-0.2072,0.3825,0.7126,0.83
5.465122,-0.1121,0.4074,0.7470,0.86
5.493819,-0.1577,0.6245,0.7491,0.99
5.511391,-0.1603,0.4278,0.7118,0.85
5.529079,-0.1980,0.3131,0.7793,0.86
5.544712,-0.1948,0.2481,0.7356,0.80
5.565909,-0.2265,0.2398,0.7236,0.80
5.587340,-0.2363,0.2520,0.6633,0.75
5.610722,-0.1933,0.2139,0.6381,0.70
5.629160,-0.1464,0.1559,0.6743,0.71
5.644642,-0.1298,0.1119,0.6982,0.72
5.677880,-0.1528,0.1061,0.7341,0.76
5.694308,-0.1874,0.1259,0.7493,0.78
5.711573,-0.2177,0.1232,0.7647,0.80
5.731244,-0.2177,0.0990,0.7584,0.80
5.752022,-0.2434,0.1156,0.8003,0.84
5.777951,-0.2575,0.1410,0.7935,0.85
5.795939,-0.2644,0.1154,0.7962,0.85
5.811617,-0.2630,0.1127,0.8314,0.88
5.828336,-0.2386,0.1212,0.8294,0.87
5.850390,-0.2573,0.1345,0.8246,0.87
5.878698,-0.2920,0.1322,0.8072,0.87
5.894638,-0.2864,0.1254,0.8026,0.86
5.911100,-0.2935,0.0995,0.8013,0.86
5.930015,-0.2803,0.0929,0.8040,0.86
5.965294,-0.2414,0.1442,0.8397,0.89
5.978227,-0.2377,0.2168,0.8323,0.89
5.995340,-0.2591,0.2566,0.7955,0.88
6.010603,-0.2935,0.2454,0.7764,0.87
6.050613,-0.2432,0.1953,0.7470,0.81
6.051432,-0.2432,0.1953,0.7470,0.81
6.078273,-0.1361,0.2363,0.6615,0.72
6.096090,-0.1403,0.2412,0.5511,0.62
6.112033,-0.2195,0.2109,0.5222,0.60
6.146009,-0.2192,0.2657,0.6784,0.76
6.166503,-0.1437,0.3370,0.6750,0.77
6.180926,-0.1586,0.3849,0.6102,0.74
6.196086,-0.2281,0.4131,0.5865,0.75
6.230054,-0.2777,0.4644,0.6222,0.82
6.245540,-0.2637,0.5177,0.6376,0.86
6.266795,-0.2519,0.5974,0.6508,0.92
6.282358,-0.4514,0.6335,0.5315,0.94
6.296378,-0.2486,0.7559,0.4296,0.90
6.329054,-0.4078,0.8752,0.3768,1.04
6.346605,-0.3861,0.8281,0.3313,0.97
6.366638,-0.2246,0.8029,0.2742,0.88
6.381751,-0.2691,0.8107,0.2626,0.89
6.396011,-0.2889,0.7764,0.2439,0.86
6.430128,-0.2945,0.6059,0.2579,0.72
6.446061,-0.2212,0.5550,0.2209,0.64
