time,gFx,gFy,gFz,TgF
6.308446,-0.2141,0.7093,0.5552,0.93
6.325688,-0.3309,0.8530,0.4848,1.04
6.341621,-0.3726,0.8693,0.4359,1.04
6.362573,-0.3798,0.9470,0.4934,1.13
6.394750,-0.2473,0.4884,0.6396,0.84
6.408893,-0.1848,0.4744,0.5037,0.72
6.427015,-0.1696,0.5333,0.3670,0.67
6.441629,-0.2092,0.5602,0.3050,0.67
6.462709,-0.2782,0.5592,0.2542,0.67
6.492980,-0.3192,0.5714,0.1549,0.67
6.509272,-0.3169,0.5443,0.1190,0.64
6.524754,-0.2957,0.5215,0.0892,0.61
6.564071,-0.2752,0.5320,0.1097,0.61
6.564811,-0.2752,0.5320,0.1097,0.61
6.591762,-0.2426,0.5921,0.1549,0.66
6.608954,-0.2593,0.6137,0.1654,0.69
6.646354,-0.3143,0.5883,0.1879,0.69
6.670695,-0.3634,0.6096,0.1484,0.73
6.671355,-0.3634,0.6096,0.1484,0.73
6.691283,-0.3945,0.6271,0.1083,0.75
6.709306,-0.3971,0.5665,0.1268,0.70
6.742217,-0.3404,0.4930,0.1261,0.61
6.762501,-0.3150,0.5015,0.1119,0.60
6.794677,-0.3202,0.5526,0.1422,0.65
6.809218,-0.3419,0.5506,0.1552,0.67
6.827604,-0.3204,0.5274,0.1566,0.64
6.863973,-0.3283,0.5238,0.1412,0.63
6.895490,-0.3563,0.5930,0.1471,0.71
6.896208,-0.3563,0.5930,0.1471,0.71
6.910247,-0.3502,0.5865,0.1463,0.70
6.927219,-0.3411,0.5670,0.1493,0.68
6.963628,-0.3588,0.5245,0.1388,0.65
6.993636,-0.3793,0.5362,0.1435,0.67
6.994323,-0.3793,0.5362,0.1435,0.67
7.009801,-0.3707,0.5465,0.1517,0.68
7.029421,-0.3563,0.5716,0.1524,0.69
7.050612,-0.3646,0.5499,0.1552,0.68
7.092841,-0.3644,0.5453,0.1102,0.67
7.111500,-0.2994,0.6137,0.0925,0.69
7.127325,-0.2854,0.6790,0.1116,0.74
7.159689,-0.3549,0.7877,0.0755,0.87
7.181124,-0.4045,0.8764,0.0596,0.97
7.212862,-0.3072,0.8144,0.1463,0.88
7.213627,-0.3072,0.8144,0.1463,0.88
7.244708,-0.1855,0.5905,0.2395,0.66
7.264915,-0.1251,0.4935,0.2530,0.57
7.296177,-0.1882,0.4702,0.2647,0.57
7.296812,-0.1882,0.4702,0.2647,0.57
7.326830,-0.2143,0.5538,0.2903,0.66
7.343762,-0.2454,0.5748,0.3663,0.72
7.360591,-0.2779,0.6159,0.3917,0.78
7.380809,-0.3106,0.6181,0.4186,0.81
7.412987,-0.2681,0.5807,0.4176,0.76
7.427791,-0.2668,0.5247,0.4460,0.74
7.443868,-0.2234,0.4693,0.4318,0.68
7.467007,-0.1818,0.4309,0.3979,0.61
7.494323,-0.2036,0.3898,0.4103,0.60
7.511286,-0.2170,0.3563,0.4389,0.61
7.528222,-0.2160,0.3486,0.4660,0.62
7.546922,-0.2197,0.3644,0.4783,0.64
7.561053,-0.2197,0.3644,0.4804,0.64
7.581961,-0.2337,0.3871,0.5122,0.68
7.609667,-0.2519,0.4069,0.5335,0.72
7.626724,-0.2656,0.4062,0.5442,0.73
7.643845,-0.2612,0.3989,0.5471,0.73
7.665001,-0.2419,0.4118,0.5618,0.74
7.688994,-0.2241,0.4434,0.5657,0.75
7.709890,-0.2309,0.4812,0.5660,0.78
7.728076,-0.2591,0.4842,0.5638,0.79
7.744571,-0.2854,0.4851,0.5616,0.80
7.782375,-0.2810,0.5729,0.5836,0.86
7.808483,-0.2486,0.5623,0.6527,0.90
7.809078,-0.2486,0.5623,0.6527,0.90
