time,gFx,gFy,gFz,TgF
5.711594,0.1920,0.7174,0.1945,0.77
5.728179,0.1908,0.7102,0.1605,0.75
5.756215,0.1936,0.7214,0.1605,0.76
5.774254,0.1985,0.7063,0.1556,0.75
5.790786,0.2121,0.7107,0.1661,0.76
5.806959,0.2123,0.7186,0.1940,0.77
5.827358,0.2110,0.7127,0.1503,0.76
5.856862,0.1990,0.7190,0.1708,0.77
5.873304,0.2086,0.7174,0.1726,0.77
5.889956,0.2001,0.7127,0.1659,0.76
5.911152,0.1994,0.7198,0.1527,0.76
5.939963,0.2045,0.7114,0.1717,0.76
5.956932,0.1990,0.7239,0.1933,0.78
5.974167,0.2013,0.7083,0.1547,0.75
5.990771,0.2052,0.7168,0.1547,0.76
6.007684,0.2117,0.7130,0.1532,0.76
6.027499,0.2152,0.7134,0.1517,0.76
6.057467,0.2037,0.7024,0.1522,0.75
6.074909,0.1887,0.7081,0.1524,0.75
6.092123,0.1801,0.7332,0.1985,0.78
6.109241,0.1933,0.7202,0.1867,0.77
6.131319,0.1960,0.7273,0.1524,0.77
6.157253,0.2054,0.7107,0.1628,0.76
6.174934,0.2154,0.7107,0.1610,0.76
6.191890,0.2140,0.7254,0.1806,0.78
6.230109,0.2011,0.7212,0.1722,0.77
6.230705,0.2011,0.7212,0.1722,0.77
6.257632,0.1889,0.7105,0.1547,0.75
6.274390,0.1818,0.7170,0.1740,0.76
6.290800,0.1892,0.7168,0.1698,0.76
6.315115,0.2086,0.7053,0.1679,0.75
6.331116,0.1999,0.7139,0.1571,0.76
6.357646,0.2016,0.7195,0.1637,0.76
6.375319,0.2157,0.7149,0.1706,0.77
6.408481,0.1933,0.7174,0.1671,0.76
6.430048,0.1941,0.7190,0.1451,0.76
6.447324,0.2042,0.7134,0.1484,0.76
6.458885,0.2121,0.7181,0.1503,0.76
6.475365,0.2033,0.7210,0.1726,0.77
6.493654,0.1974,0.7200,0.1825,0.77
6.534191,0.2045,0.7151,0.1505,0.76
6.534649,0.2045,0.7151,0.1505,0.76
6.562388,0.2047,0.7156,0.1771,0.77
6.576607,0.2091,0.7142,0.1742,0.76
6.609524,0.2021,0.7130,0.1617,0.76
6.629823,0.1945,0.7058,0.1591,0.75
6.663841,0.1775,0.7249,0.1573,0.76
6.664506,0.1775,0.7249,0.1573,0.76
6.693422,0.2128,0.7174,0.1787,0.77
6.713125,0.2121,0.7174,0.1640,0.77
6.732254,0.2023,0.7214,0.1527,0.76
6.775482,0.2091,0.7070,0.1738,0.76
6.776349,0.2091,0.7070,0.1738,0.76
6.793375,0.2013,0.7078,0.1568,0.75
6.810438,0.1920,0.7174,0.1669,0.76
6.831353,0.1920,0.7109,0.1584,0.75
6.877831,0.1908,0.7214,0.1701,0.77
6.878943,0.1869,0.7217,0.1735,0.77
6.894166,0.1960,0.7212,0.1635,0.77
6.911251,0.2074,0.7214,0.1598,0.77
6.931967,0.2150,0.7156,0.1571,0.76
6.960056,0.2004,0.7174,0.1645,0.76
6.977946,0.1953,0.7247,0.1654,0.77
6.994611,0.2064,0.7210,0.1524,0.77
7.011350,0.2033,0.7166,0.1645,0.76
7.031585,0.2021,0.7166,0.1484,0.76
