time,gFx,gFy,gFz,TgF
5.118216,-0.3432,0.2735,0.7522,0.87
5.135517,-0.3318,0.2738,0.7148,0.83
5.152225,-0.3287,0.2757,0.6969,0.82
5.168400,-0.3563,0.3211,0.7309,0.87
5.188973,-0.3637,0.3456,0.7810,0.93
5.215847,-0.3844,0.4071,0.8036,0.98
5.235175,-0.4029,0.4267,0.8116,1.00
5.251968,-0.3884,0.4905,0.7810,1.00
5.268914,-0.4240,0.5166,0.7349,0.99
5.290474,-0.3969,0.4896,0.7593,0.99
5.315945,-0.4311,0.4758,0.7495,0.99
5.335185,-0.4423,0.6030,0.7386,1.05
5.353103,-0.4294,0.6156,0.6735,1.01
5.369138,-0.3952,0.5228,0.6696,0.94
5.390609,-0.3187,0.5199,0.6608,0.90
5.413782,-0.3341,0.6606,0.5569,0.93
5.436133,-0.2624,0.4776,0.4213,0.69
5.452849,-0.2947,0.3759,0.3658,0.60
5.491457,-0.2070,0.4243,0.2579,0.54
5.520072,-0.1799,0.4507,0.3661,0.61
5.521122,-0.1887,0.4593,0.3658,0.62
5.536485,-0.2141,0.4253,0.3353,0.58
5.553513,-0.2488,0.4705,0.2275,0.58
5.590129,-0.3190,0.5325,0.2167,0.66
5.620985,-0.3702,0.4551,0.2624,0.64
5.621981,-0.3702,0.4551,0.2624,0.64
5.636149,-0.3243,0.3982,0.2223,0.56
5.653764,-0.3131,0.3754,0.2011,0.53
5.691155,-0.2918,0.6208,0.0274,0.69
5.719849,-0.2458,0.5162,0.2877,0.64
5.720619,-0.2458,0.5162,0.2877,0.64
5.735981,-0.2777,0.5741,0.3169,0.71
5.769853,-0.1740,0.3001,0.1381,0.37
5.792222,-0.1557,0.5411,0.0599,0.57
5.820387,-0.1046,0.5636,0.1053,0.58
5.821158,-0.1046,0.5636,0.1053,0.58
5.837750,-0.0926,0.5301,0.1696,0.56
5.870201,-0.0555,0.5061,0.1715,0.54
5.892853,-0.1818,0.7596,0.0527,0.78
5.921661,-0.3165,0.8009,0.1424,0.87
5.922449,-0.3165,0.8009,0.1424,0.87
5.953161,-0.3856,0.7515,0.2275,0.87
5.969977,-0.2192,0.7132,0.1669,0.76
5.990677,-0.1430,0.6585,0.1535,0.69
6.002410,-0.1855,0.6643,0.1158,0.70
6.037066,-0.2444,0.6916,0.1148,0.74
6.053973,-0.2288,0.6802,0.1326,0.73
6.070725,-0.1855,0.6902,0.0872,0.72
6.088107,-0.1412,0.7425,0.0089,0.76
6.109957,-0.1328,0.8246,-0.0183,0.84
6.136946,-0.1533,0.9004,0.0397,0.91
6.154147,-0.1864,0.9190,0.0845,0.94
6.170676,-0.2192,0.9605,0.1251,0.99
6.192761,-0.1921,1.0204,0.1517,1.05
6.221984,-0.1909,1.0204,0.0955,1.04
6.239447,-0.1373,0.8923,0.0974,0.91
6.255415,-0.0604,0.7750,0.1224,0.79
6.292825,0.0454,0.6606,0.2272,0.70
6.325846,0.0479,0.6709,0.2544,0.72
6.326563,0.0479,0.6709,0.2544,0.72
6.337661,-0.0464,0.6721,0.2248,0.71
